CAP;Cell;Citta;Email;IBAN;Indirizzo;NoteCliente;PartitaIVA;PersonaRiferimento;Proprietario;ProssimaVisita;ProssimoRecall;RagioneSociale;SDI;TMK;Telefono;UltimaVisita;UltimoRecall;﻿ClienteID;RowID
;;;;;;*;;;fabio;;;PROGETTO ASSISTENZA;;;;;;208;208
10152;;Settimo Torinese;"Massimoprovera <massimoprovera@alice.it>;gaveglio@proveraedilizia.it";;Strada Cebrosa 30;24/5/22 ---NOTE DI GIULIA: il sig. butano mi comunica che non sono piu loro ad avere contratto con noi. MI DA NUOVO NUMERO E MI DICE CHE SE NE OCCUPA IL SIG. MASSIMO PROVERA. PRENDO APP. X FABIO---25/5/22 la Provera e stata venduta. il sig. Provera Massimo  ha aperto la ital nolo. si e sobbarcato i nostri contratti controvoglia. fabio tentera di sistemare le cose-----1/8/23 b.v---11/1/24 saluti---1/8/24  b.v.5/11/24 avvisano da torino con mail che la macchina e stat spostata al nuovo indirizzo--20/12/24 n.r.28/7/25 B.V.;;massimo provera, sig.ra marisa  sig.ra gaveglio;fabio;;;PROVERA & C SAS DI MASSIMO PROVERA(ITAL NOLO);;;011/2410998 '3394693969 SIG.PROVERA MASSIMO;13/07/2022;28/07/2025;209;209
;;;;;;*;;;fabio;;;PUNTOCOM SRL (FONDAZIONE CARIPLO);;;;;;210;210
38100;;BOLZANO;francesco.colleo@conseagroup.com;;VIA GALVANI 24;23/2/22 ctr - 27/06/2022 chiamo il sig. Colleo per un saluto, non riescono a inserire il toner in dotazione nella macchina, mi manda una mail - luglio 2022 visita di cortesia a Delfini a Crema, vorrebbero una macchina nuova che non abbiamo quindi lo sento a settembre per anche il discorso centralini - 10/11/2022 sopralluogo di Fabio e Andrea presso Consea di Crema e Settala, attendo bollette telefoniche via mail - 22/12/2022 chiamo per auguri di natale, apprezza e ricambia, ci sentiamo a gennaio per l'installazione del centralino;;SIG. COLLEO FRANCESCO - SIG.MATTEO DELFINI;fabio;;;QUICK SERVICES SRL ( CON.SE.A SRL);;;3455814735 - 04\71936118;;;211;211
20028;;San Vittore Olona;"amministrazione@remecologia.it; ACQUISTI@REMECOLGIA.IT";;CORSO SEMPIONE 270;hanno un centralino Wildixwgw16 + caselle mail---10/2/20 in visita--31/7/20 saluti---18/12/20 auguri---marzo 21 in visita---30/7/21 saluti--- 14/4/22 saluti ---2/8/22 saluti4/11/22 non c'e cerco per app---1/8/23 b.v.---11/1/24 saluti---11/6/24 in visita---20/12/24 n.r.18/6/25 CHIAMATA---28/7/25 B.V.;4807900966;marco di costanzo;fabio;;;R.E.M. Ecologia S.r.l.;;;0331/516407(3938259751);28/07/2025;28/07/2025;212;212
20094;;CORSICO;corsico@limmobiliare.com;;VIA CAVOUR 41;Scrivi qui le tue note...;;SIG.RAPETTI;fabio;;;R.E.S. REAL ESTATE SRL (IMMOBILITALIANI);;;24880196;;;213;213
20037;;Paderno Dugnano;amministrazione@rpmetalfastenerssrl.com;;VIA MAGRETTI 11;9/6/20 ci comunica che si e rotto vetro pc portatile.9/9/ richiedo attestazione p.iva 14/9 sollecito telefonicamente 16/9 sollecito documenti (attestazione p.iva)--21/12/20 fabio in visita---23/3/22 saluti---1/8/23 n.r.--11/1/24  ---settembre 24 ritirata stampante. cheiede mail di conferma contratti restanti;;SIG.RA SONIA;fabio;;;R.P.METALFASTNERS SRL;;;3932128851 - 3939714747;;;214;214
20026;;Novate Milanese;"res.ricci@gmail.com;riccialessandro1958@libero.it";;VIA MONTEGRAPPA 39;31/5/19 tutto ok chiede toner nero.-30/10/19  tuttok g---18/11 preso app per scdenza contratto---6/12 spediti doc finanziaria . Deve aspettare titolare... in nota su file x richiamre il 13/12---13/12/19 il titolare non ha ancora firmato.---28/7 chiama lei e colgo l'occasione per saluti estivi---n.r.18/12/20 auguri---22/3/21 n.r.---27/5/21 tutto ok---30/7/21 saluti--14/4/22 molto soddisfatti tutto ok saluti---1/8/23 n.r.---11/1/24 n.r.---12/1/24 saluti---17/7/24 app---19/12/24 b.n.7/4/25 app--28/7/25 B.V.;;SIG.RA LAURA;fabio;;;RES;;;02/87222233;10/04/2025;28/07/2025;215;215
23868;;VALMADRERA;amministrazione@retirusconi.it;;VIA XXV APRILE 52;30/7/21 saluti---14/4/22 saluti .tutto ok---16/9/22 app---ottobre e novembre cerco per sapere cosa pensa di offerta---1/8/23 n.r.---12/1/24 saluti---28/6/24 dopo aver tentato piu volte app. le mando una mail per chiederle disponibilita---19/12/24 b.n.28/7/25 B.V.;1595000132;SIG.RA SILVIA;fabio;;;RETI RUSCONI SRL;;;341581470;20/03/2025;28/07/2025;216;216
10152;;TORINO;cristina@avvocatorey.it;;VIA DUCHESSA JOLANDA 34;RIPROVARE DOPODOMANI PERCHE DOMANI CE SOLAMENTE AL MATTINO PERCHE POI HA UN CONVEGNO.ENTRA LA SEGRETERIA. 15/05: maurizio non c'e mai stato! 04/06: in tribunale. Richiamare. 07/06: richiamare a luglio. Ora molto impegnata. Davvero molto gentile. 09/07: segr. telef. 10/07: rimachiamare a sett. ora troppo impegnata. 4/9 appuntamento per il 25 alle ore ed il 5/9 aggiornata mail perche la sig.ra chiedeva ns recapiti di tel e mail..20/9: inviata mail per disdire l'appuntamento del giorno 25 settembre. (a seguito di Evento commerciali convention Epson..)proposto incontro per i primi di Ottobre.21/9:Non reperibile al telef..24/9:Proposti via mail 2 ottobre ore 11,00 oppure 4 ottobre ore 9,00.24/9: lasciato messaggio in segreteria ed inviata mail.dal 6 novembre la sig.ra tornera dall'America.Ha preso l'appuntamento per il 7 Novembre alle ore 9,00.05/11/21 preso app. 11,11,21 ore 14 visita di cortesia 12/11/21 maurizio mi ha detto che gli ha tel. avv x spostare app. a giov.18,11,21 ore 15 04/03/22 ce segreteria che gli avv. non sono in studio  24/03/22 ce segreteria che dice che gli avv. non sono in ufficio--04/07/22 ce ancora segretria mandata email x comunicazione nuovo commerciale  -29/8/22 DA OGGI TOLTA DAL FILE DI LELE ---20/9/22 fabio va all'app. daniele le ha sostituito la macchina Epson 5690(USATA VECCHIO CONTRATTOfinanziato e lasciata da maurizio come contratto interno) con una c 579 usata. fabio fa ricaricare in ifis perche sia finananziata e non piu interna.1/8/23 b.v.---11/1/24 saluti---1/8/24 n.r.19/12/24 b.n.28/7/25 N.R.;;AVV. REY CRISTINA;fabio;;;REY AVV. CRISTINA;;;011 540862 / 0115069706;20/09/2022;28/07/2025;217;217
20090;;Assago;"caf@rsstudiosrl.com;rsstudiosrl@lamiapec.it";;Via Roma 23;*;;DOTT.SSA SCALERA;fabio;;;RS STUDIO DI ROSA SCALERA;;;Tel. 02/87205538 cell./Whatsapp 3515060161;;;218;218
20094;;Corsico;"caf@rsstudiosrl.com;rsstudiosrl@lamiapec.it";;vai parini 40;*;;DOTT.SSA SCALERA;fabio;;;RS STUDIO SRL;;;24401738;;;219;219
20144;;MILANO;russodentalclinic@gmail.com;;PIAZZA PO 16;10/01/2024--- N.R. X SALUTI---11/1/24 saluti---1/8/24 b.v.--19/12//24 b.n.28/7/25 B.V.;11039050965;SIG.RUSSO;fabio;;;RUSSO CENTRO ODONTOIATRICO SRL;T9K4ZHO;;243982025;;28/07/2025;220;220
20094;;Corsico;"caf@rsstudiosrl.com;rsstudiosrl@lamiapec.it";;vai parini 40;11/2018 ancora presto x discorso nuova sede - appuntamento nuova sede 16/11/2018 a cesano boscone---MARZO APRILE 19 ...VARI APP---23/12/19 AUGURI---30/7/20---11/12/20 auguri+ biglietto---8/2/21 in visita---30/7/21 saluti---1/8/23 b.v.--- febbraio marzo 24 cerco app. non puo mai---1/8/24 b.v.---22/11/24 tento app. chi mi risponde dice che mi fa richiamare---13/3/25 tento app. n.r.--17/4/25 tento app---28/7/25;;DOTT.SSA SCALERA;fabio;;;Rosa Scalera;;;24401738;08/11/2022;28/07/2025;221;221
20026;;Novate Milanese;info@samspurghi.it;;Via Vialba 71;gennaio 2019 tutto ok---9/7/19 tutto ok---23/12 auguri---1/7/20 parlo con lei per offerta cell.20/10/20 n.r.---18/12/20 ---16/3/21 la sto cercando per offeraty telefoni--30/7/21 LEI NON C'e SALUTI---4/11/21 lei non c'e saluti---15/2/22 in visita---2/8/23  b.v.10/1/24 saluti---1/8/24 b.v.19/12/24 b.n.;;SIG.RA GLORIANA;fabio;;;S.A.M. SRL;M5UXCR1;;233240366;25/06/2025;15/07/2025;222;222
80141;;NAPOLI;avv.sangiovannipeppe@libero.it;;VIA PONTI ROSSI 285;non chiamare;;AVV.TO SANGIOVANNI;fabio;;;SANGIOVANNI GIUSEPPE AVVOCATO;;;810102686;;;223;223
;;;;;;*;;;fabio;;;SANITAS DIAGNOSTICA;;;37381786;;;224;224
27029;;VIGEVANO;info@sava-srl.com;;VIA MANARA NEGRONE 72;8/6/20 sollecito fotocopia doc ---20/10/20 fattura 13  di eccedenze copie vuole aspere se puo aumentarle nel contratto. Rimaniamo d'accordo che aspettimo l'anno nuovo per valutare---26/3/21 cerco app per fabio. Non ricevon causa covid---27/5/21 ok app---26/10/21 saluti tutto ok---14/4/22 saluti tutto ok---17/2/23 fabio voleva passare perche da ratti ma non ci sono---2/8/23 b.v.11/1/24 saluti---21/5/24 app.---19/12/24 b.n.;1714620182;SIG.RA VALENTINA PIPARO calogero piparo;fabio;;;SAVA SRL;;;38188806;01/04/2025;22/04/2025;225;225
20020;;ARESE;martina.paladino@savepa.it;;VIA DELLA REPUBBLICA 28(il centralino e installato a bollate via Novara 14);18/12/20 auguri---15/6/21 tutto ok---26/10/21 tutto ok---14/4/22 saluti tutto ok--12/12/22 auguri---2/8/23 ---10/1/24 SALUTI---1/8/24 b.v.--16/5/25 app;5060260154;SIG.RA MARTINA;fabio;;;SAVEPA SRL;;;238306252;04/09/2025;04/09/2025;226;226
20146;;lissone;scillieri@scillieristudio.it;;via rubens 2/6 ,lissone(2 macchine)via marco antonio colonna 11 milano(1 macchina);5/5/20 qualche discussion econ fabio...---31/7/20 saluti estivi lascio detto all'impiegato  29/9/20 appuntamento.. chiedeva coma fare per scindere il contratto con scillieri....vedi mail del5 febbraio 21 e del 8 marzo 21----  6/3/21 mando mail con contratto di scissione copie - 06/05/2025 mail del cliente: Vi segnaliamo che la stampante Multifunzione Epson Workforce Pro C579, seriale n.X576004918, sara trasferita in Milano, da via M.A.Colonna n.11 a via Giuseppe Frua n.24, ---16/5/25 app;1052950159;SIG.MICHELE SCILLIERI 348 7083803;fabio;;;SCILLIERI MICHELE;;;24816893;16/05/2025;16/05/2025;227;227
21047;;SARONNO;amministrazione@seadaservice.it;;VIA SAN CARLO 1;20/07/2024 chiamo per saluti e buone vacanze - 7 ottobre 2024 visitato cliente e deciso sostituzione macchina: 18/10/2024 andato tecnici - 19/12/2024 parlo con chiara per auguri di natale, dice che anche questa macchina va spesso in errore, a gennaio ci sentiamo per mandare Federico;3507420127;SIG.RA CHIARA;fabio;;;SEADA SERVICE SRLS;WHP7LTE;;29690450;07/10/2024;;228;228
21052;;BUSTO ARSIZIO;amministrazione@gmass.it;;VIA MASSARI MARZOLI 4;*;;sig. michele;fabio;;;SERVICE KEY SPA (GM CLIMA )(OCEANICA);;;0331/344081;;;229;229
20142;;MILANO;e.rondinini@oceanicagroup.it;;12 Via Ettore Bugatti;rinnovo automatico 11/2018 tutto ok--1/2/19 visita---16/9/19 li stocercando per sapere x offerta server.18/9/19 non interessa offerta---rinnovo automatico---23/12/19 n.r.27/1/20 parlo con lei e prendo app per il 10/2/20 verra confermato via mail.29/1/20 mi scrive di risentirci a fine febbraio perche e pieno.---2/3/20 tento app... mi devono richiamare---6/3/20 sono in emergenza e non ricevono.---22/6/20 fatte varie offerte. fabio mi fa ridatare la wc dell'1/6/18 dal 30/5/20 al 30/5/21---18/12/20 auguri---15/2/21 in visita 27/5/21 cerco app con salvatore... elena mi dice che mi scrive mail---24/6/21cerco app mi dice che manda mail---14/4/22 saluti auguri---2/8/22 n.r.---6/9/22 CONSEGNATA IN DATA ODIERNA MACCHINA USATA SOSTTITUTIVA.(VECCHIA MACCHINA:Workcentre 6605V_DNM Metered)IL CONTRATTO RESTA INVARIATO.---20/12/22 sentita per consegna---3/3/23 cerco app. elena mi dice che mi manda una mail---20/3/23 per il ctr che scade il 7/23 elena chiede riscatto ---1/8/23 b.v.---11/1/24 n.r.--12/1/24 n.r---29/3/24 n.r.---30/7/24 B.V.--20/12/24 b.n.---24/1/25 elena ci scrive per specchietto ctr. la chiamo per chiederle se possibile conoscere referente nuova propieta . non ha al momento idea .. cerca di scoprirlo.---30/7/25 NON RISPONDE A NESSUN NUMERO;5930590962;SIG.RA ELENA RONDININI;fabio;;;SERVICE KEY SPA (OCEANICA IMMOBILIARE AURONZO);;;331592861;13/09/2023;30/07/2025;230;230
20010;;SAN GIORGIO SU LEGNANO;e.rondinini@oceanicagroup.it;;VIA FIUME 7;*;;SIG.RA ELENA RONDININI(titolare Salvatore);fabio;;;SERVICE KEY SPA (Oceanica Italia Srl);SUBM70N;;0331/592861;;;231;231
20098;;SAN GIULIANO MILANESE;operativosetram@gmail.com;;VIA PIEMONTE 12 SESTO ULTERIANO;29/03/2024 chiamo per auguri di Pasqua, chiede app.to per oggi perche hanno problemi con il loro centralino che e saltato, ma poi richiama dicendo che hanno appena firmato con fasweb - 30/07/2024 chiamo per saluti e parloamo del problema telefono che risolveremo a fine agosto ritirandolo e portandolo in un centro assistenza (chedono muletto) - 7/11/2024 parlo con Anna, stavano pensando di sostituire l'Iphone, quando sono pronti chiamano loro Fabio - 19/12/2024 provo per auguri di natale ma non risponde nessuno - 18/04/2025 visita di cortesia;2358850150;SIG.RA ANNA - SIG.ALESSANDRO;fabio;;;SETRAM SRL;SUBM70N;;298282127;20/05/2024;;232;232
20070;;CERRO AL LAMBRO;"marilisa.piva@sgmimpiantisrl.it ;amministrazione2@sgmimpiantisrl.it";;VIA DELL'ARTIGIANATO 26;05/03/2024 chiamo per app offerta server, ma premauro ci rieisentiamo - 02/04/2024 dice che non si e spiegato bene, o non ho capito io, ad ogni modo e prematuro, stanno facendo spostamenti, quindi propone verso giugno - 03/06/2024 tramite la segretaria dice che adesso non interessa - 20/07/2024 chiamo per saluti e buone vacanze - 6/11/2024 provo a chiamare il sig. Riccardo Bruzzi pe il server, ma e sempre impegnato, lascio messaggio alla segretaria (perche me lo chiede) - 18/12/2024 lascio detto alla segretaria auguri di buon natale apprezzati - 20/05/2025 provo a proporre visita di cortesia, ma sono presi, aspettiamo;7299620158;SIG.RA MARILISA - SIG.RA ILARIA;fabio;;;SGM IMPIANTI SRL;USAL8PV;;298230788;05/02/2024;05/03/2024;233;233
27029;;VIGEVANO;vendite@sidercom.it;;VIALE ARTIGIANATO 10;29/7/25 B.V.;9317220961;SIG.RA SUSANNA GHEZZI, LUCA BENZONI;fabio;;;SIDERCOM SRL - stessa mysteel + italacciai;;;3389940897;;29/07/2025;234;234
20081;;MORIMONDO;"diego.sala@siderinox.it ;stefano.banzi@siderinox.it";;STRADA PROVINCIALE 183 N.5 FRAZ. CASELLE;23/2/22 APP---25/7/22 cambia riferimento .non e piu sala ma  Sig. busatti---14/11/22 ripreso app---1/8/23 n.r.---11/1/24 busatti mi dice che se ne poccupa la sig.ra carubi,,, provo ma non risponde--- 22/4/24 il sig. banzi chiede copie. Lo cerco ma non risponde---19/12/24 n.r.---24/10/25 tento tmk ma non riesco a parlare con nessuno;;sig.ra carubi 02/949815231 sig. busatti 02949815265 - SIG.STEFANO BANZI(02 949815223);fabio;;;SIDERINOX SPA;;;29498151;16/11/2022;24/10/2025;235;235
27027;;GROPPELLO CAROLI;;;VIA ALDO MORO 9;*;;SIG.RA DOMIZIANA CHIAVASSA;fabio;;;SIGESA SRL;;;335/7504659;;;236;236
20098;;SAN GIULIANO MILANESE;stefano@sirples.com;;VIA MONTE NERO 15;16/10/2019 chiedo a Fabio dice di chiamare a novembre per sapere se serve qualcosa. e poi a dicembre per i saluti e gli auguri di natale ----chiamato l'11/06/2020 va tutto bene, Stefano aveva chiamato Fabio qualche settimana fa per avere informazioni sul termoscanner, ma poi ha risolto in altro modo - 17/12/2020 chiamato Stefano per auguri di Natale, ricambia, tutto a posto.2/3/21 in visita - 09/07/2021 non trovo Stefano, ma lascio detto alla segretaria: telefonata di cortesia, saluti, tutto ok? ---5/11/21 non ha tempo di ricevere scarnello... - 27/06/2022 lo chiamo per un saluto, lui sempre molto cortese, va tutto bene, saluta Fabio e ci sentiamo piu avanti - 18/10/2022 fissato visita di cortesia per martedi 25/10/2022 tutto ok - 20/12/2022 chiamo per auguri di natale, ricambia anche a fabio ora lo sento a luglio per rinnovo contratto - 07/06/2023 visita di cortesia e inzio valutazione per rinnovo 1/8/23 chiama per toner tutto ok (g) - 26/02/2024 visita per rinnovo - 30/07/2024 chiamo per saluti e buone vacanze - 18/12/2024 parlo con Stefano, auguri di natale apprezzati;751490152;SIG.STEFANO CALZI;fabio;;;SIRPLES SRL;;;298242262;26/02/2024;24/02/2024;237;237
27029;;VIGEVANO;direzione@slassicurazioni.it;;PIAZZA VOLTA 4;01/08/2023 b.v. ---10/1/24  SALUTI---1/8/24 b.v.   ---19/12/24 b.n.---30/7/25 B.V.;2547630182;SG.GUAZZORA;fabio;;;SL SNC DI GUAZZORA E BISCONCIN;M5UXCR1;;38182084;28/06/2023;30/07/2025;238;238
*;;coniolo;andrea.musso@smyth.it;;via regione formica 10;app.15/02/19 ore 11 18/02 e stata fatta offerta per due stampanti a noleggio sia Xerox /Epson 21/02 accettato offerta per stampante epson WF C869  --Contratto con IFIS   18/07 app.  Il 22,07,19 ore 15 x visita di cortesia---10/6/22INIZIO NOTE GIULIA contatta Fabio per offerta . fissato app era di lele lo acqusiamo oggi.---29/7/22 lo chiamo per inviare doc contratto---15/5/23 APP---1/8/23 n.r.---10/1/24 SALUTI---1/8/24 n.r.---19/12/24 b.n.30/7/25 B.V.;;sig. andrea musso;fabio;;;SMYTH SRL ARTI GRAFICHE;;;0142563366  int.207;25/05/2023;30/07/2025;239;239
;;PIANEZZA;"a.marabeti@soccorsotributario.it; claudia@studio-brunovillani.it ;s.cucchiara@studio-brunovillani.it";;VIA IV NOVEMBRE 2/BIS;15/05: fare tel cortesia per passare per un saluto.13/9: dobbiamo inviare mail di cortesia non e presente chi di dovere!24/9:non presente Rag. Villani, inviata mail..25/9: inviata ancora mail in risposta al Rag. Villani..Il quale non potra riceverci prima della meta di Ottobre. Abbiamo fissato l'appuntamento con la sig.ra Serena. per il giorno 22 Ottobre alle ore 10,30. 07/01 mandato offerta  29/01/19 fatta offerta il 17/10/2018 noleggio notebook hp  30/01/2019 hanno gia provvedduto diversamente hanno acquistato da altri 16/06/20 sono presi con le dichiarazioni non hanno avuto tempo risentire meta luglio;;RAG. VILLANI - Dott.ssa Marabeti Annalissa- DSSA CUCCHIARA;fabio;;;SOCCORSO TRIBUTARIO SRL  (stessa sede Studio Villani);;;"011 994 3761-0110241707;011-9677997- 3475665059 (cell d.ssa marabeti Annalisa)";;;240;240
20121;;MILANO;cristina.radice@sogefigroup.com;;VIA CIOVASSINO 1/A;Scrivi qui le tue note...;;SIG.RA CRISTINA RADICE;fabio;;;SOGEFI SPA;;;2467501;;;241;241
20093;;COLOGNO MONZESE;antonio2427@tiscali.it;;VIALE UMBRIA 25;19/12/2024 auguri di natale apprizzati --- 16/7/25  arrivata pec di disdetta a naturale scadenza;6240330966;SIG.DA BELLONIO ANTONIO;fabio;;;SOLUZIONI IMMOBILIARI DI DA BELLONIO ANTONIO;M5UXCR1;;3403702957;04/07/2024;;242;242
20024;;GARBAGNATE MILANESE;"alessandra.perin@sorinibrush.com;'giovanni.migliavacca@sorinibrush.com'";;VIA DEL LAVORO 15;17/2/20 preso app.--31/7/20 saluti estivi---19/2/21 app---28/7/21  n.r.---26/10/21 tutto ok---2/8/22 saluti ---1/8/23 b.v.---6/10/23 APP---11/1/24 saluti--11/1/24 saluti---1/8/24 b.v. 28/2/25 post app. contattrli a novembre per cambio macchine---28/7/25 b.v.;752180158;SIG.RA ALESSANDRA PERIN(sig. migliavacca);fabio;;;SORINI & MIGLIAVACCA SPA;;;299026560;26/02/2025;28/07/2025;243;243
20090;;BUCCINASCO;luciano.lesina@splight.it;;VIA MODENA 10;G: 13/10 spiegata situazione non hanno tempo. 28/11: RICHIAMARE 1 SETTIMANA DI DICEMBRE PER APPUNTAMENTO. 14/12: in attesa di ricevere le caratteristiche da Eleonora Lesina per fare offerta pc portatile.05/03 - eleonora offerta portatile! 02/03: n.r. 06/03: contattera lei piu avanti perche ora non sono programmate spese per nuovi acquisti.23/05: CORTESIA GENERICO / PROMO PC! non c'e - richiamare. 04/06: quando sara interessata ricontattera lei. 07/11: idem. chiamo a gennaio. 12/06/2019 tutto ok - 17/12/2019 chiamato x Natale non risponde - 06/02/2020 app.to x rinnovo 13/02/2020 con Fabio- 20/02/2020 avvisati che consegneremo nuova stampante a fine marzo visto il trimesre gia pagato con grenke  - 19/05/2020 non risponde nessuno sta lavorando solo lui fornito cellulare - consegna nuova macchina 26/05/2020 da concordare data x ritiro vecchia - 06/11/2020 tutto ok ma non ricevono nessuno - maggio 2021 tutto ok 27/28/07 non risp nessuno  16/6/2023 non risp  20/6/2023  VISITA CORTESIA PER 27/6/2023  Lucianone tutto ok anche se lavoro diminuito e ormai c'e solo lui-*-*-*-*-*-*-*-*-*-*-*-*- DA QUI TORNA A FABIO!!!!!! 28/2/25 lo contatto per app. non puo dice di sentirci sett. proc--14/5 n.r. --19/5.. n.r.;;SIG. LUCIANO LESINA;fabio;;;SP LIGHT AND DESIGN SRL;;;0245707187 - 335237926 lesina;;;244;244
21047;;SARONNO;DANIEL.SPATOLA@LIVE.IT;;VIA LEOPARDI 15;non chiamare;;SIG. SPATOLA 8FABIO METROM);fabio;;;SPATOLA DANIEL VINCENZO(METROM);;;346 3512840;;;245;245
20079;;BASIGLIO;info@sportingmedicalcenter.it;;PIAZZA MARCO POLO SNC;01/08/2024 b.v.---19/12/24 b.n.---28/4/25 in visita---28/7/25 b.v.;9348290967;SIG.RA ROSA MAISTO;fabio;;;SPORTING MEDICAL CENTER SRL;W7YVJK98;;0283423460 - 3486990048 ROSA MAISTO;15/04/2025;28/07/2025;246;246
*;;BUSSOLENO (TO);info@studiopasquini.net;;VIA TRAFORO 73;*;;ING. DAVIDE PASQUINI;fabio;;;ST. ASS. DI INGEGNERIA PASQUINI di D.Pasquini e L.Pasquini;;;0122 48738--3296425499;;;247;247
26032;;OSTIANO (CR);;;VIA GARIBALDI 76;FATTA OFFETA RISCATTO FINE NOLEGGIO---16/4/24 saluti---23/4/24 avvista impiegata che e possibile aumentere il banco di memoria di 32 gb. Se desidera offerta vedi mail di claudia;;GEOM.DELLABONA;fabio;;;STA DELLABONA DEI GEOM.ENZO E SIMONE DELLABONA;;;372840518;;23/04/2024;248;248
20073;;OPERA;stawimpianti@stawimpianti.it;;VIA MANARA 5/7/9;chiamata a gennaio 2022, tutto ok - 8/7/2022 saluti e passa Fabio: si devono trasferire a opera, sentire a settembre per cablaggio, autosorveglianza ... mese di ottobre 2022 in contatto col cliente per centralino Sig.ra Cristina Gementi - 20/12/2022 parlo con Enza per auguri di natale, chiede se fabio vuole passare a portarle il panettone, poi dice che scherza ma fa piacere se passa per un caffe - 23/05/2023 visita di cortesia - 06/03/2024 chiamata di saluto tutto a posto -30/07/2024 chiamo per saluti e buone vacanze - 21/10/2024 visita di cortesia - 18/12/2024 parlo con la Mezzina, auguri di natale apprezzati;;SIG.RA ENZA MEZZINA;fabio;;;STAWIMPIANTI SRL;;;298282186;21/10/2024;06/03/2024;249;249
20091;;BRESSO;antonio.azzaretto@aziendacondominio.it;;VIA ALESSANDRO MANZONI 6;SEDE LEGALE : VIA PAPA GIOVANNI XXIII 43 BRESSO 12/4/24 chiama lui per richiesta toner--- 1/8/24 b.v.---24/10/25 tmk;5109390962;ANTONIO AZZARETTO(TITOLARE);fabio;;;STUDIO ANTONIO AZZARETTO;;;0267481304 CELL. 3356009908;;24/10/2025;250;250
26013;;CREMA;e.bettinelli@dossena-bettinelli.it;;PIAZZALE RIMEMBRANZE 19;visitato da fabio l'8/02/2022, ha in previsione acquisto pc lo chiamo un mese dopo ma non e pronto, dice a giungo - a giugno 2022 fabio va e vende Work station - 20/12/2022 chiamo per gli auguri, lui ricambia anche a fabio e riporta auguri a Ruini e Simonetta - 20/04/2023 visita di cortesia - 2/10/2024 visita di cortesia (anche Ruini e Simonetta) tra poco va in pensione - 18/12/2024 parlo con lui per gli auguri di natale apprezza, dice che ha dato il nostro nominativo al ing. Borrelli della Eterna che ci contattera;;ARCH.BETTINELLI;fabio;;;STUDIO ARCHITETTO ENZO BETTINELLI;;;0373/80346 - 3357216469;02/10/2024;;251;251
21047;;SARONNO;info@adzengeneering.com;;VIA MOLINO 14/B;17/12/2021 chiamo per auguri di natale, la stampante tutto bene - 29/06/2022 la chiamo prendo app. per venerdi 01/07/2022 per un plotter - gennaio 2023 lamenta problemi col plotter, Fede va e la sente piu volte per la risoluzione del priblema - 28/07/2023 provo a chiamare per saluti ma non risponde nessuno - 15/03/2024 ci scrive per problema caricamento carta, andiamo per intervento e risolviamo (alla fine le era caduto qualcosa sul plotter), lei tranquilla - 19/12/2024 chimo per auguri ma non risponde nessuno;;SIG.RA DANIELA ALABISO;fabio;;;STUDIO ASSOCIATO ADZ ENGENEERING;;;296701507;16/09/2022;15/03/2024;252;252
20121;;MILANO;info@rggstudio.it;;PIAZZA DELLA REPUBBLICA 10;13/4/22 SALUTI TUTTO OK---1/8/23 b.v.---1/22/24 saluti---1/8/24 b.v.---19/12/24 bn.r.;;DR.GHISLANDI;fabio;;;STUDIO ASSOCIATO DR.RONCHI-DR.GUARIGLIA-DR GHISLANDI;;;26592361;;28/07/2025;253;253
26013;;CREMA;marioscaramuzza@libero.it;;VIA GIUSEPPE MAZZINI 95;20/12/2022 chiamo per auguri di natale, molto graditi e ricambia anche a fabio - marzo 2023 sentito per intervento sempre carino e gentile, lui contento - 28/07/2023 lui non c'e riferiscono saluti e buone vacanze - 22/02/2024 visita di cortesia - 30/07/2024 chiamo per saluti e buone vacanze  apprezza molto  - 19/12/2024 auguri di natale apprezzati;;ARCH.SCARAMUZZA;fabio;;;STUDIO ASSOCIATO SCARAMUZZA E ZUCCHETTI;;;037386828 cell. Arch. Scaramuzza 3487141031 cell. Arch. Vania Zucchetti (moglie) 3286381953;22/02/2024;01/03/2023;254;254
20146;;MILANO;info@studiobigliardi.com;;VIALE SAN GIMINIANO 8;CHIAMO PER SALUTI E TELEMARKETING;3892990965;;fabio;;;STUDIO BIGLIARDI SAS;;;24120280;;20/01/2025;255;255
20094;;CORSICO;n.carone@studioderosasnc.it;;VIA GIOVANNI FALCONE 9;Scrivi qui le tue note...;3826780961;SIG.RA NOEMI;fabio;;;STUDIO DE ROSA SNC;W7YVJK9;;245101459;;;256;256
20123;;MILANO;Claudia Cedrini <claudia.cedrini@studio-fante.com>;;PIAZZA BORROMEO 12;*;;DOTT.SSA CEDRINI;fabio;;;STUDIO FANTE;;;02 72 62 801;;;257;257
20123;;MILANO;Claudia Cedrini <claudia.cedrini@studio-fante.com>;;PIAZZA BORROMEO 12;*;;DOTT.SSA CEDRINI;fabio;;;STUDIO FANTE - EX STUDIO TRIBUTARIO;;;02 72 62 80 47 - 3663478787 DOTT.SSA CEDRINI;18/11/2024;;258;258
20013;;MAGENTA;ferrario_roberto@consulenzeferrario.it;;VIA PIAVE 28;13/4/22 saluti . Tutto ok---1/11/24 saluti---1/8/24 b.v.---19/12/24  b.n.---28/7/25 b.v.;8085780156;RAG.FERRARIO;fabio;;;STUDIO FERRARIO RAG.ROBERTO;;;236544965;30/09/2024;28/07/2025;259;259
